,Rainbow,No Double,No Dueling,No PER,No Noisy,No Distributional,No N-steps,DQN,Double,Dueling,PER, Noisy,Distributional,N-steps
1,0.1,0.4,0.3,-0.4,0,0.4,0.6,0.6,0.2,0.4,0,-0.3,0.1,0.1
10,-0.052631578947369,0.421052631578947,0.157894736842105,-0.052631578947369,0.263157894736842,0.31578947368421,0.31578947368421,0.210526315789474,0.31578947368421,0.210526315789474,0.210526315789474,0.052631578947369,0,0.105263157894737
19,0.071428571428572,0.142857142857143,-0.035714285714286,-0.071428571428572,0.392857142857143,0.392857142857143,0.178571428571429,0.178571428571429,0.392857142857143,0.321428571428571,0.321428571428571,0.178571428571429,-0.035714285714286,0.214285714285714
28,0.108108108108108,0.162162162162162,0.027027027027027,-0.162162162162162,0.432432432432432,0.324324324324324,0.27027027027027,0.243243243243243,0.378378378378378,0.297297297297297,0.324324324324324,0.216216216216216,0.054054054054054,0.297297297297297
37,0.130434782608696,0.195652173913043,0.173913043478261,0,0.391304347826087,0.347826086956522,0.347826086956522,0.217391304347826,0.347826086956522,0.260869565217391,0.239130434782609,0.282608695652174,0.065217391304348,0.369565217391304
46,0.181818181818182,0.236363636363636,0.236363636363636,0.072727272727273,0.418181818181818,0.327272727272727,0.309090909090909,0.236363636363636,0.272727272727273,0.218181818181818,0.181818181818182,0.309090909090909,0.072727272727273,0.436363636363636
55,0.140625,0.265625,0.234375,0.0625,0.28125,0.3125,0.28125,0.265625,0.265625,0.21875,0.25,0.28125,0.015625,0.4375
64,0.082191780821918,0.301369863013699,0.232876712328767,0.082191780821918,0.273972602739726,0.273972602739726,0.301369863013699,0.26027397260274,0.205479452054794,0.136986301369863,0.205479452054794,0.26027397260274,0.054794520547945,0.410958904109589
73,0.134146341463415,0.304878048780488,0.195121951219512,0.085365853658537,0.25609756097561,0.292682926829268,0.329268292682927,0.170731707317073,0.231707317073171,0.134146341463415,0.231707317073171,0.219512195121951,0.024390243902439,0.390243902439024
82,0.131868131868132,0.318681318681319,0.252747252747253,0.087912087912088,0.241758241758242,0.307692307692308,0.263736263736264,0.208791208791209,0.252747252747253,0.197802197802198,0.252747252747253,0.21978021978022,0.032967032967033,0.32967032967033
91,0.15,0.27,0.29,0.09,0.26,0.29,0.26,0.18,0.26,0.15,0.19,0.2,0.07,0.35
100,0.192660550458716,0.293577981651376,0.247706422018349,0.073394495412844,0.275229357798165,0.293577981651376,0.284403669724771,0.174311926605505,0.26605504587156,0.155963302752294,0.146788990825688,0.201834862385321,0.055045871559633,0.330275229357798
109,0.23728813559322,0.288135593220339,0.23728813559322,0.093220338983051,0.254237288135593,0.279661016949152,0.305084745762712,0.161016949152542,0.254237288135593,0.135593220338983,0.169491525423729,0.254237288135593,0.050847457627119,0.338983050847458
